time_us, raw_offset, corrected_time, state, confidence, result
2700000, offset=218.0, corrected=2700090, state=NORMAL, confidence=0.990, result=PASS
2800000, offset=169.0, corrected=2800089, state=NORMAL, confidence=0.990, result=PASS
2900000, offset=185.0, corrected=2900090, state=NORMAL, confidence=0.990, result=PASS
3000000, offset=169.0, corrected=3000089, state=NORMAL, confidence=0.990, result=PASS
3100000, offset=292.0, corrected=3100089, state=NORMAL, confidence=0.990, result=PASS
3200000, offset=199.0, corrected=3200090, state=NORMAL, confidence=0.990, result=PASS
3300000, offset=147.0, corrected=3300090, state=NORMAL, confidence=0.990, result=PASS
3400000, offset=241.0, corrected=3400092, state=NORMAL, confidence=0.990, result=PASS
3500000, offset=138.0, corrected=3500094, state=NORMAL, confidence=0.990, result=PASS
3600000, offset=210.0, corrected=3600095, state=NORMAL, confidence=0.990, result=PASS
3700000, offset=102.0, corrected=3700091, state=NORMAL, confidence=0.990, result=PASS
3800000, offset=133.0, corrected=3800087, state=NORMAL, confidence=0.990, result=PASS
3900000, offset=209.0, corrected=3900083, state=NORMAL, confidence=0.990, result=PASS
4000000, offset=236.0, corrected=4000086, state=NORMAL, confidence=0.990, result=PASS
4100000, offset=208.0, corrected=4100089, state=NORMAL, confidence=0.990, result=PASS
4200000, offset=194.0, corrected=4200093, state=NORMAL, confidence=0.990, result=PASS
4300000, offset=184.0, corrected=4300095, state=NORMAL, confidence=0.990, result=PASS
4400000, offset=126.0, corrected=4400096, state=NORMAL, confidence=0.990, result=PASS
4500000, offset=164.0, corrected=4500096, state=NORMAL, confidence=0.990, result=PASS
4600000, offset=176.0, corrected=4600094, state=NORMAL, confidence=0.990, result=PASS
4700000, offset=252.0, corrected=4700093, state=NORMAL, confidence=0.990, result=PASS
4800000, offset=217.0, corrected=4800091, state=NORMAL, confidence=0.990, result=PASS
4900000, offset=111.0, corrected=4900090, state=NORMAL, confidence=0.990, result=PASS
5000000, offset=216.0, corrected=5000093, state=NORMAL, confidence=0.990, result=PASS
5100000, offset=180.0, corrected=5100096, state=NORMAL, confidence=0.990, result=PASS
5200000, offset=166.0, corrected=5200095, state=NORMAL, confidence=0.990, result=PASS
5300000, offset=230.0, corrected=5300094, state=NORMAL, confidence=0.990, result=PASS
5400000, offset=251.0, corrected=5400097, state=NORMAL, confidence=0.990, result=PASS
5500000, offset=246.0, corrected=5500101, state=NORMAL, confidence=0.990, result=PASS
5600000, offset=158.0, corrected=5600104, state=NORMAL, confidence=0.990, result=PASS
5700000, offset=184.0, corrected=5700107, state=NORMAL, confidence=0.990, result=PASS
5800000, offset=216.0, corrected=5800107, state=NORMAL, confidence=0.990, result=PASS
5900000, offset=248.0, corrected=5900107, state=NORMAL, confidence=0.990, result=PASS
6000000, offset=176.0, corrected=6000104, state=NORMAL, confidence=0.990, result=PASS
6100000, offset=190.0, corrected=6100102, state=NORMAL, confidence=0.990, result=PASS
6200000, offset=144.0, corrected=6200101, state=NORMAL, confidence=0.990, result=PASS
6300000, offset=140.0, corrected=6300097, state=NORMAL, confidence=0.990, result=PASS
6400000, offset=240.0, corrected=6400094, state=NORMAL, confidence=0.990, result=PASS
6500000, offset=267.0, corrected=6500093, state=NORMAL, confidence=0.990, result=PASS
6600000, offset=196.0, corrected=6600094, state=NORMAL, confidence=0.990, result=PASS
6700000, offset=250.0, corrected=6700099, state=NORMAL, confidence=0.990, result=PASS
6800000, offset=218.0, corrected=6800103, state=NORMAL, confidence=0.990, result=PASS
6900000, offset=167.0, corrected=6900105, state=NORMAL, confidence=0.990, result=PASS
7000000, offset=218.0, corrected=7000105, state=NORMAL, confidence=0.990, result=PASS
7100000, offset=276.0, corrected=7100107, state=NORMAL, confidence=0.990, result=PASS
7200000, offset=198.0, corrected=7200107, state=NORMAL, confidence=0.990, result=PASS
7300000, offset=278.0, corrected=7300108, state=NORMAL, confidence=0.990, result=PASS
7400000, offset=69.0, corrected=7400108, state=NORMAL, confidence=0.990, result=PASS
7500000, offset=241.0, corrected=7500111, state=NORMAL, confidence=0.990, result=PASS
7600000, offset=204.0, corrected=7600109, state=NORMAL, confidence=0.990, result=PASS
7700000, offset=185.0, corrected=7700107, state=NORMAL, confidence=0.990, result=PASS
7800000, offset=204.0, corrected=7800106, state=NORMAL, confidence=0.990, result=PASS
7900000, offset=100.0, corrected=7900104, state=NORMAL, confidence=0.990, result=PASS
8000000, offset=189.0, corrected=8000102, state=NORMAL, confidence=0.990, result=PASS
8100000, offset=217.0, corrected=8100100, state=NORMAL, confidence=0.990, result=PASS
8200000, offset=273.0, corrected=8200100, state=NORMAL, confidence=0.990, result=PASS
8300000, offset=174.0, corrected=8300098, state=NORMAL, confidence=0.990, result=PASS
8400000, offset=159.0, corrected=8400097, state=NORMAL, confidence=0.990, result=PASS
8500000, offset=174.0, corrected=8500095, state=NORMAL, confidence=0.990, result=PASS
8600000, offset=245.0, corrected=8600093, state=NORMAL, confidence=0.990, result=PASS
8700000, offset=216.0, corrected=8700091, state=NORMAL, confidence=0.990, result=PASS
8800000, offset=173.0, corrected=8800090, state=NORMAL, confidence=0.990, result=PASS
8900000, offset=225.0, corrected=8900093, state=NORMAL, confidence=0.990, result=PASS
9000000, offset=204.0, corrected=9000096, state=NORMAL, confidence=0.990, result=PASS
9100000, offset=248.0, corrected=9100099, state=NORMAL, confidence=0.990, result=PASS
9200000, offset=164.0, corrected=9200100, state=NORMAL, confidence=0.990, result=PASS
9300000, offset=183.0, corrected=9300101, state=NORMAL, confidence=0.990, result=PASS
9400000, offset=180.0, corrected=9400099, state=NORMAL, confidence=0.990, result=PASS
9500000, offset=126.0, corrected=9500097, state=NORMAL, confidence=0.990, result=PASS
9600000, offset=214.0, corrected=9600095, state=NORMAL, confidence=0.990, result=PASS
9700000, offset=213.0, corrected=9700094, state=NORMAL, confidence=0.990, result=PASS
9800000, offset=200.0, corrected=9800095, state=NORMAL, confidence=0.990, result=PASS
9900000, offset=188.0, corrected=9900096, state=NORMAL, confidence=0.990, result=PASS
10000000, offset=129.0, corrected=10000097, state=NORMAL, confidence=0.990, result=PASS
10100000, offset=178.0, corrected=10100096, state=NORMAL, confidence=0.990, result=PASS
10200000, offset=182.0, corrected=10200095, state=NORMAL, confidence=0.990, result=PASS
10300000, offset=159.0, corrected=10300094, state=NORMAL, confidence=0.990, result=PASS
10400000, offset=191.0, corrected=10400092, state=NORMAL, confidence=0.990, result=PASS
10500000, offset=220.0, corrected=10500092, state=NORMAL, confidence=0.990, result=PASS
10600000, offset=294.0, corrected=10600092, state=NORMAL, confidence=0.990, result=PASS
10700000, offset=208.0, corrected=10700094, state=NORMAL, confidence=0.990, result=PASS
10800000, offset=212.0, corrected=10800097, state=NORMAL, confidence=0.990, result=PASS
10900000, offset=196.0, corrected=10900099, state=NORMAL, confidence=0.990, result=PASS
11000000, offset=104.0, corrected=11000100, state=NORMAL, confidence=0.990, result=PASS
11100000, offset=198.0, corrected=11100100, state=NORMAL, confidence=0.990, result=PASS
11200000, offset=203.0, corrected=11200100, state=NORMAL, confidence=0.990, result=PASS
11300000, offset=323.0, corrected=11300100, state=NORMAL, confidence=0.990, result=WARN
11400000, offset=190.0, corrected=11400099, state=NORMAL, confidence=0.990, result=PASS
11500000, offset=215.0, corrected=11500100, state=NORMAL, confidence=0.990, result=PASS
11600000, offset=198.0, corrected=11600100, state=NORMAL, confidence=0.990, result=PASS
11700000, offset=141.0, corrected=11700100, state=NORMAL, confidence=0.990, result=PASS
11800000, offset=257.0, corrected=11800099, state=NORMAL, confidence=0.990, result=PASS
11900000, offset=237.0, corrected=11900101, state=NORMAL, confidence=0.990, result=PASS
12000000, offset=239.0, corrected=12000105, state=NORMAL, confidence=0.990, result=PASS
12100000, offset=154.0, corrected=12100108, state=NORMAL, confidence=0.990, result=PASS
12200000, offset=270.0, corrected=12200111, state=NORMAL, confidence=0.990, result=PASS
12300000, offset=129.0, corrected=12300113, state=NORMAL, confidence=0.990, result=PASS
12400000, offset=229.0, corrected=12400113, state=NORMAL, confidence=0.990, result=PASS
12500000, offset=309.0, corrected=12500114, state=NORMAL, confidence=0.990, result=WARN
12600000, offset=150.0, corrected=12600114, state=NORMAL, confidence=0.990, result=PASS
12700000, offset=171.0, corrected=12700108, state=NORMAL, confidence=0.990, result=PASS
12800000, offset=204.0, corrected=12800107, state=NORMAL, confidence=0.990, result=PASS
12900000, offset=174.0, corrected=12900103, state=NORMAL, confidence=0.990, result=PASS
13000000, offset=122.0, corrected=13000098, state=NORMAL, confidence=0.990, result=PASS
13100000, offset=203.0, corrected=13100095, state=NORMAL, confidence=0.990, result=PASS
13200000, offset=146.0, corrected=13200092, state=NORMAL, confidence=0.990, result=PASS
13300000, offset=223.0, corrected=13300089, state=NORMAL, confidence=0.990, result=PASS
13400000, offset=154.0, corrected=13400087, state=NORMAL, confidence=0.990, result=PASS
13500000, offset=277.0, corrected=13500089, state=NORMAL, confidence=0.990, result=PASS
13600000, offset=160.0, corrected=13600087, state=NORMAL, confidence=0.990, result=PASS
13700000, offset=183.0, corrected=13700088, state=NORMAL, confidence=0.990, result=PASS
13800000, offset=240.0, corrected=13800088, state=NORMAL, confidence=0.990, result=PASS
13900000, offset=138.0, corrected=13900089, state=NORMAL, confidence=0.990, result=PASS
14000000, offset=211.0, corrected=14000090, state=NORMAL, confidence=0.990, result=PASS
14100000, offset=265.0, corrected=14100093, state=NORMAL, confidence=0.990, result=PASS
14200000, offset=119.0, corrected=14200096, state=NORMAL, confidence=0.990, result=PASS
14300000, offset=209.0, corrected=14300097, state=NORMAL, confidence=0.990, result=PASS
14400000, offset=212.0, corrected=14400099, state=NORMAL, confidence=0.990, result=PASS
14500000, offset=239.0, corrected=14500100, state=NORMAL, confidence=0.990, result=PASS
14600000, offset=138.0, corrected=14600102, state=NORMAL, confidence=0.990, result=PASS
14700000, offset=133.0, corrected=14700103, state=NORMAL, confidence=0.990, result=PASS
14800000, offset=226.0, corrected=14800104, state=NORMAL, confidence=0.990, result=PASS
14900000, offset=214.0, corrected=14900104, state=NORMAL, confidence=0.990, result=PASS
15000000, offset=212.0, corrected=15000105, state=NORMAL, confidence=0.990, result=PASS
15100000, offset=217.0, corrected=15100105, state=NORMAL, confidence=0.990, result=PASS
15200000, offset=165.0, corrected=15200105, state=NORMAL, confidence=0.990, result=PASS
15300000, offset=211.0, corrected=15300106, state=NORMAL, confidence=0.990, result=PASS
15400000, offset=214.0, corrected=15400106, state=NORMAL, confidence=0.990, result=PASS
15500000, offset=164.0, corrected=15500106, state=NORMAL, confidence=0.990, result=PASS
15600000, offset=293.0, corrected=15600105, state=NORMAL, confidence=0.990, result=PASS
15700000, offset=223.0, corrected=15700106, state=NORMAL, confidence=0.990, result=PASS
15800000, offset=140.0, corrected=15800106, state=NORMAL, confidence=0.990, result=PASS
15900000, offset=232.0, corrected=15900107, state=NORMAL, confidence=0.990, result=PASS
16000000, offset=151.0, corrected=16000108, state=NORMAL, confidence=0.990, result=PASS
16100000, offset=239.0, corrected=16100109, state=NORMAL, confidence=0.990, result=PASS
16200000, offset=257.0, corrected=16200110, state=NORMAL, confidence=0.990, result=PASS
16300000, offset=158.0, corrected=16300112, state=NORMAL, confidence=0.990, result=PASS
16400000, offset=248.0, corrected=16400114, state=NORMAL, confidence=0.990, result=PASS
16500000, offset=220.0, corrected=16500115, state=NORMAL, confidence=0.990, result=PASS
16600000, offset=241.0, corrected=16600116, state=NORMAL, confidence=0.990, result=PASS
16700000, offset=294.0, corrected=16700117, state=NORMAL, confidence=0.990, result=PASS
16800000, offset=187.0, corrected=16800118, state=NORMAL, confidence=0.990, result=PASS
16900000, offset=162.0, corrected=16900117, state=NORMAL, confidence=0.990, result=PASS
17000000, offset=155.0, corrected=17000112, state=NORMAL, confidence=0.990, result=PASS
17100000, offset=159.0, corrected=17100105, state=NORMAL, confidence=0.990, result=PASS
17200000, offset=196.0, corrected=17200099, state=NORMAL, confidence=0.990, result=PASS
17300000, offset=217.0, corrected=17300094, state=NORMAL, confidence=0.990, result=PASS
17400000, offset=213.0, corrected=17400094, state=NORMAL, confidence=0.990, result=PASS
17500000, offset=241.0, corrected=17500096, state=NORMAL, confidence=0.990, result=PASS
17600000, offset=200.0, corrected=17600098, state=NORMAL, confidence=0.990, result=PASS
17700000, offset=272.0, corrected=17700100, state=NORMAL, confidence=0.990, result=PASS
17800000, offset=186.0, corrected=17800102, state=NORMAL, confidence=0.990, result=PASS
17900000, offset=336.0, corrected=17900106, state=NORMAL, confidence=0.990, result=WARN
18000000, offset=231.0, corrected=18000108, state=NORMAL, confidence=0.990, result=PASS
18100000, offset=157.0, corrected=18100110, state=NORMAL, confidence=0.990, result=PASS
18200000, offset=146.0, corrected=18200107, state=NORMAL, confidence=0.990, result=PASS
18300000, offset=224.0, corrected=18300108, state=NORMAL, confidence=0.990, result=PASS
18400000, offset=188.0, corrected=18400105, state=NORMAL, confidence=0.990, result=PASS
18500000, offset=235.0, corrected=18500102, state=NORMAL, confidence=0.990, result=PASS
18600000, offset=223.0, corrected=18600104, state=NORMAL, confidence=0.990, result=PASS
18700000, offset=196.0, corrected=18700105, state=NORMAL, confidence=0.990, result=PASS
18800000, offset=157.0, corrected=18800104, state=NORMAL, confidence=0.990, result=PASS
18900000, offset=124.0, corrected=18900102, state=NORMAL, confidence=0.990, result=PASS
19000000, offset=177.0, corrected=19000100, state=NORMAL, confidence=0.990, result=PASS
19100000, offset=242.0, corrected=19100097, state=NORMAL, confidence=0.990, result=PASS
19200000, offset=210.0, corrected=19200095, state=NORMAL, confidence=0.990, result=PASS
19300000, offset=137.0, corrected=19300092, state=NORMAL, confidence=0.990, result=PASS
19400000, offset=208.0, corrected=19400094, state=NORMAL, confidence=0.990, result=PASS
19500000, offset=219.0, corrected=19500096, state=NORMAL, confidence=0.990, result=PASS
19600000, offset=155.0, corrected=19600098, state=NORMAL, confidence=0.990, result=PASS
19700000, offset=207.0, corrected=19700099, state=NORMAL, confidence=0.990, result=PASS
19800000, offset=202.0, corrected=19800100, state=NORMAL, confidence=0.990, result=PASS
19900000, offset=142.0, corrected=19900100, state=NORMAL, confidence=0.990, result=PASS
20000000, offset=217.0, corrected=20000100, state=NORMAL, confidence=0.990, result=PASS
20100000, offset=238.0, corrected=20100101, state=NORMAL, confidence=0.990, result=PASS
20200000, offset=274.0, corrected=20200103, state=NORMAL, confidence=0.990, result=PASS
20300000, offset=282.0, corrected=20300106, state=NORMAL, confidence=0.990, result=PASS
20400000, offset=171.0, corrected=20400109, state=NORMAL, confidence=0.990, result=PASS
20500000, offset=203.0, corrected=20500112, state=NORMAL, confidence=0.990, result=PASS
20600000, offset=285.0, corrected=20600118, state=NORMAL, confidence=0.990, result=PASS
20700000, offset=295.0, corrected=20700123, state=NORMAL, confidence=0.990, result=PASS
20800000, offset=305.0, corrected=20800128, state=NORMAL, confidence=0.990, result=WARN
20900000, offset=482.0, corrected=20900133, state=NORMAL, confidence=0.990, result=WARN
21000000, offset=328.0, corrected=21000138, state=NORMAL, confidence=0.990, result=WARN
21100000, offset=366.0, corrected=21100143, state=NORMAL, confidence=0.990, result=WARN
21200000, offset=367.0, corrected=21200151, state=NORMAL, confidence=0.990, result=WARN
21300000, offset=362.0, corrected=21300158, state=NORMAL, confidence=0.990, result=WARN
21400000, offset=324.0, corrected=21400164, state=NORMAL, confidence=0.990, result=WARN
21500000, offset=387.0, corrected=21500169, state=NORMAL, confidence=0.990, result=WARN
21600000, offset=321.0, corrected=21600173, state=NORMAL, confidence=0.990, result=WARN
21700000, offset=358.0, corrected=21700174, state=NORMAL, confidence=0.990, result=WARN
21800000, offset=355.0, corrected=21800175, state=NORMAL, confidence=0.990, result=WARN
21900000, offset=394.0, corrected=21900176, state=NORMAL, confidence=0.990, result=WARN
22000000, offset=515.0, corrected=22000177, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
22100000, offset=316.0, corrected=22100177, state=NORMAL, confidence=0.990, result=WARN
22200000, offset=454.0, corrected=22200181, state=NORMAL, confidence=0.990, result=WARN
22300000, offset=349.0, corrected=22300185, state=NORMAL, confidence=0.990, result=WARN
22400000, offset=416.0, corrected=22400190, state=NORMAL, confidence=0.990, result=WARN
22500000, offset=504.0, corrected=22500194, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
22600000, offset=463.0, corrected=22600201, state=NORMAL, confidence=0.990, result=WARN
22700000, offset=416.0, corrected=22700204, state=NORMAL, confidence=0.990, result=WARN
22800000, offset=444.0, corrected=22800207, state=NORMAL, confidence=0.990, result=WARN
22900000, offset=523.0, corrected=22900214, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
23000000, offset=463.0, corrected=23000217, state=NORMAL, confidence=0.990, result=WARN
23100000, offset=520.0, corrected=23100220, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
23200000, offset=522.0, corrected=23200228, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
23300000, offset=497.0, corrected=23300236, state=NORMAL, confidence=0.990, result=WARN
23400000, offset=647.0, corrected=23400242, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
23500000, offset=581.0, corrected=23500248, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
23600000, offset=458.0, corrected=23600253, state=NORMAL, confidence=0.990, result=WARN
23700000, offset=579.0, corrected=23700260, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
23800000, offset=546.0, corrected=23800267, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
23900000, offset=632.0, corrected=23900273, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
24000000, offset=560.0, corrected=24000274, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
24100000, offset=604.0, corrected=24100279, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
24200000, offset=645.0, corrected=24200284, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
24300000, offset=673.0, corrected=24300292, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
24400000, offset=579.0, corrected=24400296, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
24500000, offset=633.0, corrected=24500300, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
24600000, offset=636.0, corrected=24600303, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
24700000, offset=637.0, corrected=24700307, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
24800000, offset=768.0, corrected=24800309, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
24900000, offset=710.0, corrected=24900312, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
25000000, offset=636.0, corrected=25000314, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
25100000, offset=755.0, corrected=25100323, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
25200000, offset=826.0, corrected=25200335, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
25300000, offset=781.0, corrected=25300345, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
25400000, offset=664.0, corrected=25400355, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
25500000, offset=725.0, corrected=25500363, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
25600000, offset=823.0, corrected=25600371, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
25700000, offset=734.0, corrected=25700371, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
25800000, offset=802.0, corrected=25800371, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
25900000, offset=828.0, corrected=25900377, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
26000000, offset=753.0, corrected=26000382, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
26100000, offset=807.0, corrected=26100386, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
26200000, offset=657.0, corrected=26200390, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
26300000, offset=778.0, corrected=26300390, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
26400000, offset=827.0, corrected=26400389, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
26500000, offset=787.0, corrected=26500390, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
26600000, offset=941.0, corrected=26600391, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
26700000, offset=798.0, corrected=26700392, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
26800000, offset=857.0, corrected=26800397, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
26900000, offset=896.0, corrected=26900403, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
27000000, offset=972.0, corrected=27000413, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
27100000, offset=838.0, corrected=27100418, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
27200000, offset=978.0, corrected=27200426, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
27300000, offset=930.0, corrected=27300434, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
27400000, offset=890.0, corrected=27400441, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
27500000, offset=973.0, corrected=27500447, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
27600000, offset=969.0, corrected=27600454, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
27700000, offset=939.0, corrected=27700459, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
27800000, offset=983.0, corrected=27800465, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
27900000, offset=970.0, corrected=27900471, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
28000000, offset=1005.0, corrected=28000476, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
28100000, offset=1043.0, corrected=28100481, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
28200000, offset=1099.0, corrected=28200486, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
28300000, offset=968.0, corrected=28300491, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
28400000, offset=1146.0, corrected=28400498, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
28500000, offset=952.0, corrected=28500505, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
28600000, offset=1052.0, corrected=28600509, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
28700000, offset=1099.0, corrected=28700513, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
28800000, offset=1094.0, corrected=28800520, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
28900000, offset=1058.0, corrected=28900522, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
29000000, offset=1089.0, corrected=29000527, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
29100000, offset=1085.0, corrected=29100530, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
29200000, offset=1090.0, corrected=29200533, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
29300000, offset=1172.0, corrected=29300536, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
29400000, offset=1157.0, corrected=29400539, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
29500000, offset=1115.0, corrected=29500542, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
29600000, offset=1204.0, corrected=29600550, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
29700000, offset=1185.0, corrected=29700559, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
29800000, offset=1220.0, corrected=29800566, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
29900000, offset=1221.0, corrected=29900575, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
30000000, offset=1158.0, corrected=30000583, state=NORMAL, confidence=0.990, result=FAIL_DRIFT
30100000, offset=171.0, corrected=30100588, state=NORMAL, confidence=0.990, result=PASS
30200000, offset=237.0, corrected=30200587, state=NORMAL, confidence=0.990, result=PASS
30300000, offset=230.0, corrected=30300493, state=NORMAL, confidence=0.990, result=PASS
30400000, offset=198.0, corrected=30400409, state=NORMAL, confidence=0.990, result=PASS
30500000, offset=205.0, corrected=30500333, state=NORMAL, confidence=0.990, result=PASS
30600000, offset=263.0, corrected=30600270, state=NORMAL, confidence=0.990, result=PASS
30700000, offset=170.0, corrected=30700222, state=NORMAL, confidence=0.990, result=PASS
30800000, offset=227.0, corrected=30800190, state=NORMAL, confidence=0.990, result=PASS
30900000, offset=189.0, corrected=30900164, state=NORMAL, confidence=0.990, result=PASS
31000000, offset=189.0, corrected=31000147, state=NORMAL, confidence=0.990, result=PASS
31100000, offset=254.0, corrected=31100133, state=NORMAL, confidence=0.990, result=PASS
31200000, offset=241.0, corrected=31200122, state=NORMAL, confidence=0.990, result=PASS
31300000, offset=240.0, corrected=31300120, state=NORMAL, confidence=0.990, result=PASS
31400000, offset=265.0, corrected=31400119, state=NORMAL, confidence=0.990, result=PASS
31500000, offset=201.0, corrected=31500118, state=NORMAL, confidence=0.990, result=PASS
31600000, offset=234.0, corrected=31600118, state=NORMAL, confidence=0.990, result=PASS
31700000, offset=184.0, corrected=31700117, state=NORMAL, confidence=0.990, result=PASS
31800000, offset=216.0, corrected=31800115, state=NORMAL, confidence=0.990, result=PASS
31900000, offset=193.0, corrected=31900112, state=NORMAL, confidence=0.990, result=PASS
32000000, offset=204.0, corrected=32000110, state=NORMAL, confidence=0.990, result=PASS
32100000, offset=229.0, corrected=32100108, state=NORMAL, confidence=0.990, result=PASS
32200000, offset=159.0, corrected=32200106, state=NORMAL, confidence=0.990, result=PASS
32300000, offset=304.0, corrected=32300105, state=NORMAL, confidence=0.990, result=WARN
32400000, offset=149.0, corrected=32400103, state=NORMAL, confidence=0.990, result=PASS
32500000, offset=139.0, corrected=32500098, state=NORMAL, confidence=0.990, result=PASS
32600000, offset=257.0, corrected=32600093, state=NORMAL, confidence=0.990, result=PASS
32700000, offset=239.0, corrected=32700098, state=NORMAL, confidence=0.990, result=PASS
